UCIAMS_Number	Original_sample_name	Museum_Number	SampleType	3-30kDa_collagen_yield_percent	del15N_permil	del13C_permil	percent_N	percent_C	C_to_N_wt_percent_to_wt_percent	C_to_N_atomic	Original_data_sheet	Sample_Notes	UseSample	Other_Notes
198206	P23 33228 S. beecheyi Dep. 1 B-1 L3	LACMP23-33228	mammal	2.9	6.4	-20.7	13.3	44.5	3.34	3.89	Blois_FoxJan03_18.xls	"Three of these samples (P23-33227, -33228 and -33233) gave elevated C:N ratios which may indicate that residual hydrocarbons were present. This would bias the dates old, and for the most contaminated sample (P23-33228) this shift could amount to as much as 1000-1200 years. The d15N values would not be affected by the presence of tar but if 15% of the carbon in this sample was from asphalt (d13C = -23ä, unpublished data), the d13C would have been shifted negative by about 0.4ä."	MAYBE	
198207	P23 33229 S. beecheyi Dep. 1 B-2 L2	LACMP23-33229	mammal	2.4	8.5	-20.9	14.6	42.9	2.93	3.42	Blois_FoxJan03_18.xls		Y	
198208	P23 33233 Neotoma sp. Dep. 14	LACMP23-33233	mammal	1.4	8.2	-21.1	13.7	44.4	3.24	3.77	Blois_FoxJan03_18.xls	"Three of these samples (P23-33227, -33228 and -33233) gave elevated C:N ratios which may indicate that residual hydrocarbons were present. This would bias the dates old, and for the most contaminated sample (P23-33228) this shift could amount to as much as 1000-1200 years. The d15N values would not be affected by the presence of tar but if 15% of the carbon in this sample was from asphalt (d13C = -23ä, unpublished data), the d13C would have been shifted negative by about 0.4ä."	V	
198294	P23 28902 Sylvilagus Dep. 1 A-1 L7 .28mgC	LACMP23-28902	mammal	0.8	5.5	-20.9	13.9	41	2.95	3.45	BloisFoxJan06_18.xls		Y	
198295	P23 31113 Sciuridae Dep. 14 D-3 L5	LACMP23-31113	mammal	1.2	8.8	-20.8	14.6	41.8	2.87	3.35	BloisFoxJan06_18.xls		Y	Specimen is not listed in the master mammal spreadsheet!
	P23 31115 Sciuridae Dep. 14 D-3 L6	LACMP23-31115	mammal	0.7	7.1	-19	14.1	41	2.9	3.38	BloisFoxJan06_18.xls	"Three (JLB note: two?) other samples were very small and only measured for EA/IRMS: P23 31115 Sciuridae Dep. 14 D-3 L6, P23 33234 Microtus sp. Dep. 14"	Y	Specimen is not listed in the master mammal spreadsheet!
198296	P23 31118 Sciuridae Dep. 14 C-3 L4 .30mgC	LACMP23-31118	mammal	0.7	3.2	-19.3	14.2	42.7	3	3.5	BloisFoxJan06_18.xls	"The C:N ratio for the P23 31118 sample is marginally high, which could indicate that traces of residual hydrocarbon contamination are present."	Y	Specimen is not listed in the master mammal spreadsheet!
198297	P23 33232 Thomomys sp. Dep. 14	LACMP23-33232	mammal	0.6	3.9	-21.6	14	43.1	3.09	3.61	BloisFoxJan06_18.xls		Y	
	P23 33234 Microtus sp. Dep. 14	LACMP23-33234	mammal	0.5	5.6	-22.2	14.3	41.6	2.9	3.39	BloisFoxJan06_18.xls	"Three (JLB note: two?) other samples were very small and only measured for EA/IRMS: P23 31115 Sciuridae Dep. 14 D-3 L6, P23 33234 Microtus sp. Dep. 14"	Y	
198298	P23 33235 S. beecheyi Dep. 14	LACMP23-33235	mammal	2.3	7	-20.9	15.1	43.4	2.88	3.36	BloisFoxJan06_18.xls		Y	
198302	P23 33228 S. beecheyi Dep. 1 B-1 L3 test	LACMP23-33228	mammal	3.1	6.7	-20.2	15.5	44	2.84	3.31	Southon_Blois_Fox_testJan06_18.xls	"New aliquot. These results suggest that the high C:N ratio of the initial aliquot was due to an isotopically contaminant of age similar to the bone itself ( not asphalt, possibly humics cross-linked to the coillagen)."	Y	
216760	HC 11534 Sylvilagus Pit 10 E-8 9ft	LACMHC-11534	mammal	3.5	3.6	-20.8	15.0	41.9	2.8	3.3	Blois_Fox_SouthonApr14_19.xls		Y	
216761	HC 11587 Spermophilus Pit 10 E-8 9ft	LACMHC-11587	mammal	2.1	5.9	-21.1	14.9	42.6	2.9	3.3	Blois_Fox_SouthonApr14_19.xls		Y	
216762	HC 130857 Spermophilus Bliss 29  	LACMHC-130857	mammal	2.7	4.5	-21.2	14.8	42.8	2.9	3.4	Blois_Fox_SouthonApr14_19.xls		Y	
216763	HC 142763 Sylvilagus Pit 16  	LACMHC-142763	mammal	2.6	7.6	-21.4	14.5	41.9	2.9	3.4	Blois_Fox_SouthonApr14_19.xls		Y	
216764	HC 142764 Sylvilagus Pit 16  	LACMHC-142764	mammal	2.5	6.9	-21.0	14.9	42.7	2.9	3.3	Blois_Fox_SouthonApr14_19.xls		Y	
216765	HC 142766 Sylvilagus Pit 16  	LACMHC-142766	mammal	2.6	8.4	-21.3	14.6	42.0	2.9	3.4	Blois_Fox_SouthonApr14_19.xls		Y	
216766	HC 142767 Sylvilagus   	LACMHC-142767	mammal	1.9	7.6	-22.0	15.1	43.5	2.9	3.4	Blois_Fox_SouthonApr14_19.xls		Y	
216767	HC 142772 Sylvilagus (juv)   	LACMHC-142772	mammal	1.9	4.9	-21.9	14.3	41.7	2.9	3.4	Blois_Fox_SouthonApr14_19.xls		Y	
216768	HC 142773 Sylvilagus Pit A  	LACMHC-142773	mammal	1.1	7.8	-21.8	14.9	43.5	2.9	3.4	Blois_Fox_SouthonApr14_19.xls		Y	
216769	HC 142778 Sylvilagus Pit A  	LACMHC-142778	mammal	1.4	5.2	-21.3	14.8	43.8	3.0	3.4	Blois_Fox_SouthonApr14_19.xls		Y	
216770	HC 142779 Sylvilagus (juv) Pit A  	LACMHC-142779	mammal	1.0	6.9	-22.1	15.0	43.8	2.9	3.4	Blois_Fox_SouthonApr14_19.xls		Y	
216771	V 2173 Sylvilagus Pit 16  	LACMV-2173	mammal	1.7	6.9	-22.5	14.9	42.4	2.8	3.3	Blois_Fox_SouthonApr14_19.xls		Y	
216772	V 4516 Spermophilus   	LACMV-4516	mammal	4.7	3.8	-20.7	15.3	42.5	2.8	3.2	Blois_Fox_SouthonApr14_19.xls		Y	
216773	V 4520 Spermophilus   	LACMV-4520	mammal	1.9	6.3	-20.4	15.2	43.4	2.9	3.3	Blois_Fox_SouthonApr14_19.xls		Y	
216779	V 4524 Spermophilus   	LACMV-4524	mammal	2.1	5.3	-20.7	14.8	42.8	2.9	3.4	Blois_Fox_SouthonApr14_19.xls		Y	
216780	V 4531 Spermophilus Pit 16	LACMV-4531	mammal	1.6	4.5	-21.4	15.0	43.4	2.9	3.4	Blois_Fox_SouthonApr14_19.xls		Y	
216781	P23 35670 Spermophilus Dep. 7B B-2 L2	LACMP23-35670	mammal	5	6.6	-21.5	14.9	42.5	2.9	3.3	Blois_Fox_SouthonApr14_19.xls		Y	
216782	P23 35691 Mustela Dep. 7B B-2 L2	LACMP23-35691	mammal	3.1	10.4	-20.2	15.7	43.6	2.8	3.2	Blois_Fox_SouthonApr14_19.xls		Y	
216783	P23 35774 Lepus Dep. 7B B-2 L3	LACMP23-35774	mammal	2.5	4.9	-21.6	14.5	41.5	2.9	3.3	Blois_Fox_SouthonApr14_19.xls		Y	
216784	P23 36332 Sylvilagus Dep. 7B B-2 L3	LACMP23-36332	mammal	1.7	5.6	-21.7	15.4	42.8	2.8	3.2	Blois_Fox_SouthonApr14_19.xls		Y	
216785	P23 36336 Sylvilagus Dep. 7B B-2 L4	LACMP23-36336	mammal	1	5.3	-22.1	14.7	41.9	2.8	3.3	Blois_Fox_SouthonApr14_19.xls		Y	
217076	HC 142773 Sylvilagus Pit A	LACMHC-142773	mammal	1.0	7.9	-21.7	13.9	41.4	3.0	3.5	Blois_Fox_SouthonApr14_21.xls	These samples were run to check samples that previously gave insufficient collagen yields (V 2174 and P23 36331) or where the yields from aliquots run on 4/14/19 were marginal.	N	
217077	HC 142779 Sylvilagus (juv) Pit A .35mgC	LACMHC-142779	mammal	0.9	6.7	-22.2	13.6	40.4	3.0	3.5	Blois_Fox_SouthonApr14_21.xls	These samples were run to check samples that previously gave insufficient collagen yields (V 2174 and P23 36331) or where the yields from aliquots run on 4/14/19 were marginal.	N	
217078	V 2174 Sylvilagus Pit 16	LACMV-2174	mammal	1.3	8.2	-22.3	14.6	42.1	2.9	3.4	Blois_Fox_SouthonApr14_21.xls	These samples were run to check samples that previously gave insufficient collagen yields (V 2174 and P23 36331) or where the yields from aliquots run on 4/14/19 were marginal.	Y	
217079	P23 36331 Sylvilagus Dep. 7B B-2 L3 .23mgC	LACMP23-36331	mammal	1.2	6.6	-21.4	14.5	41.1	2.8	3.3	Blois_Fox_SouthonApr14_21.xls	These samples were run to check samples that previously gave insufficient collagen yields (V 2174 and P23 36331) or where the yields from aliquots run on 4/14/19 were marginal.	Y	
219989	P23 39241 Ferocactus Box 14 B-3 L5	LACMP23-39241	plant		6.5	-20.5	0.5	50.7			Southon_Blois_GillJul08_19.xls	The high %C for the P23 39241 Ferocactus Box 14 and P23 39520 Juniperus Box 14 reflect the fact that these samples were charred	MAYBE	
219998	P23 39512 Arctostaph. Box 14 B-2 L2	LACMP23-39512	plant		8.9	-22.2	0.1	40.5			Southon_Blois_GillJul08_19.xls		Y	
220001	P23 39515 Juniperus cal. Box 14 B-3 L5	LACMP23-39515	plant		N/A	-20.0	0.1	41.8			Southon_Blois_GillJul08_19.xls	The nitrogen content of the P23 39515 Juniperus californicus Box14 sample was too small to provide a reliable d15N measurement.	Y	
220004	P23 39516 Juniperus cal. Box 14 C-3 L2	LACMP23-39516	plant		11.4	-20.1	0.3	43.1			Southon_Blois_GillJul08_19.xls		Y	
220006	P23 39518 Juniperus cal. Box 14 D-3 L4	LACMP23-39518	plant		8.9	-18.2	0.3	40.7			Southon_Blois_GillJul08_19.xls		Y	
220008	P23 39520 Juniperus Box 14 C-2 L5	LACMP23-39520	plant		6.9	-22.8	2.0	68.0			Southon_Blois_GillJul08_19.xls	The high %C for the P23 39241 Ferocactus Box 14 and P23 39520 Juniperus Box 14 reflect the fact that these samples were charred	MAYBE	
223493	HC 11584 Spermophilus  Pit 10  E+F-8 9-13.5'	LACMHC-11584	mammal	6.6	9.9	-18.5	14.3	40.8	2.9	3.3	Fox_Blois_SouthonOct10_19.xls			
223494	HC 143517 Sylvilagus 	LACMHC-143517	mammal	4.2	6.2	-18.8	14.4	40.3	2.8	3.3	Fox_Blois_SouthonOct10_19.xls			
223495	P23-35541 Sylvilagus Box 13 B-2 L4	LACMP23-35541	mammal	4.3	5.6	-21.5	14.0	40.5	2.9	3.4	Fox_Blois_SouthonOct10_19.xls			
223496	P23-36572 Spermophilus  Box 13 A-3 L3	LACMP23-36572	mammal	1.9	6.2	-20.9	13.4	39.7	3.0	3.5	Fox_Blois_SouthonOct10_19.xls			
223497	P23-36693 Sylvilagus Box 13 B-2 L3	LACMP23-36693	mammal	1.3	7.0	-22.0	12.9	38.4	3.0	3.5	Fox_Blois_SouthonOct10_19.xls			
223498	P23-36859 Spermophilus Box 13 B-3 L4	LACMP23-36859	mammal	5.0	8.7	-21.2	15.2	44.1	2.9	3.4	Fox_Blois_SouthonOct10_19.xls			
223499	P23-36896 Sylvilagus Box 13 A-3 L3	LACMP23-36896	mammal	3.8	4.2	-21.5	15.0	42.8	2.9	3.3	Fox_Blois_SouthonOct10_19.xls			
223500	P23-36907 Spermophilus Box 13 A-3 L3	LACMP23-36907	mammal	1.9	3.7	-21.0	14.1	41.3	2.9	3.4	Fox_Blois_SouthonOct10_19.xls			
223501	P23-36910 Spermophilus Box 13 A-3 L3	LACMP23-36910	mammal	5.5	3.9	-21.2	13.4	39.1	2.9	3.4	Fox_Blois_SouthonOct10_19.xls			
223502	P23-36989 Sylvilagus Box 13 B-2 L4	LACMP23-36989	mammal	4.2	7.2	-21.4	14.8	44.2	3.0	3.5	Fox_Blois_SouthonOct10_19.xls			
223503	P23-37612 Sylvilagus Box 13 B-2 L4	LACMP23-37612	mammal	3.0	5.7	-21.4	14.5	42.3	2.9	3.4	Fox_Blois_SouthonOct10_19.xls			
223504	P23-37651 Spermophilus Box 13 B-2 L4	LACMP23-37651	mammal	4.3	6.8	-20.1	14.1	41.3	2.9	3.4	Fox_Blois_SouthonOct10_19.xls			
223505	P23-39811 Sylvilagus aud. Box 13 B-2 L3	LACMP23-39811	mammal	2.0	7.3	-21.9	14.3	41.6	2.9	3.4	Fox_Blois_SouthonOct10_19.xls			
223506	P23-39812 Sylvilagus Box 13 B-2 L3	LACMP23-39812	mammal	3.5	8.2	-21.2	14.8	42.3	2.9	3.3	Fox_Blois_SouthonOct10_19.xls			
223507	P23-39818 Sylvilagus Box 13 B-3 L2	LACMP23-39818	mammal	3.3	6.4	-22.2	14.3	42.8	3.0	3.5	Fox_Blois_SouthonOct10_19.xls			
223508	P23-39822 Sylvilagus aud. Box 13 B-2 L2	LACMP23-39822	mammal	2.7	9.4	-21.1	15.0	43.1	2.9	3.4	Fox_Blois_SouthonOct10_19.xls			
223509	P23-39825 Spermophilus (juv) Box 13 B-3 L2	LACMP23-39825	mammal	4.5	6.2	-21.2	15.2	43.2	2.8	3.3	Fox_Blois_SouthonOct10_19.xls			
223513	P23-40634 Sylvilagus Box 14 	LACMP23-40634	mammal	3.1	7.2	-21.3	14.8	42.4	2.9	3.3	Fox_Blois_SouthonOct10_19.xls			
223514	P23-40635 Sylvilagus Box 14 B-3 L5	LACMP23-40635	mammal	1.7	6.2	-21.6	14.8	41.9	2.8	3.3	Fox_Blois_SouthonOct10_19.xls			
223515	P23-40636 Sylvilagus Box 14 	LACMP23-40636	mammal	0.5							Fox_Blois_SouthonOct10_19.xls	"The following samples gave low yields and produced insufficient collagen for stable isotope measurements: P23-40636 Sylvilagus Box 14, P23-40640 Sylvilagus Box 14, P23-40641 Neotoma  Box 14, P23-40644 Spermophilus Box 14. Although the collagen appearance was good, there was insufficient material for collagen elemental analysis and C:N ratio checks."		
223516	P23-40637 Sylvilagus Box 14 B-3 L3	LACMP23-40637	mammal	2.7	7.9	-20.9	14.7	41.5	2.8	3.3	Fox_Blois_SouthonOct10_19.xls			
223517	P23-40638 Sylvilagus Box 14 	LACMP23-40638	mammal	1.1	7.2	-21.4	14.6	42.4	2.9	3.4	Fox_Blois_SouthonOct10_19.xls			
223518	P23-40639 Sylvilagus Box 14 	LACMP23-40639	mammal	1.1	6.9	-21.7	15.2	43.5	2.9	3.3	Fox_Blois_SouthonOct10_19.xls			
223519	P23-40640 Sylvilagus Box 14 	LACMP23-40640	mammal	0.3							Fox_Blois_SouthonOct10_19.xls	"The following samples gave low yields and produced insufficient collagen for stable isotope measurements: P23-40636 Sylvilagus Box 14, P23-40640 Sylvilagus Box 14, P23-40641 Neotoma  Box 14, P23-40644 Spermophilus Box 14. Although the collagen appearance was good, there was insufficient material for collagen elemental analysis and C:N ratio checks."		
223520	P23-40641 Neotoma  Box 14 	LACMP23-40641	mammal	0.5							Fox_Blois_SouthonOct10_19.xls	"The following samples gave low yields and produced insufficient collagen for stable isotope measurements: P23-40636 Sylvilagus Box 14, P23-40640 Sylvilagus Box 14, P23-40641 Neotoma  Box 14, P23-40644 Spermophilus Box 14. Although the collagen appearance was good, there was insufficient material for collagen elemental analysis and C:N ratio checks."		
223521	P23-40642 Spermophilus Box 14  .10mgC	LACMP23-40642	mammal	4.0	6.4	-20.3	15.0	42.3	2.8	3.3	Fox_Blois_SouthonOct10_19.xls			
223522	P23-40644 Spermophilus Box 14 	LACMP23-40644	mammal	0.4							Fox_Blois_SouthonOct10_19.xls	"The following samples gave low yields and produced insufficient collagen for stable isotope measurements: P23-40636 Sylvilagus Box 14, P23-40640 Sylvilagus Box 14, P23-40641 Neotoma  Box 14, P23-40644 Spermophilus Box 14. Although the collagen appearance was good, there was insufficient material for collagen elemental analysis and C:N ratio checks."		
223523	P23-40647 Sylvilagus aud. Box 14 	LACMP23-40647	mammal	1.8	9.6	-21.0	13.8	39.8	2.9	3.4	Fox_Blois_SouthonOct10_19.xls			
223524	V 2641 Sylvilagus  Pit 4  F-4+5 9-10'	LACMV-2641	mammal	1.6	7.2	-20.9	14.8	41.2	2.8	3.3	Fox_Blois_SouthonOct10_19.xls			
223525	V 2644 Sylvilagus  Pit 4  F-4+5 10-11'	LACMV-2644	mammal	2.6	8.6	-21.1	15.3	43.3	2.8	3.3	Fox_Blois_SouthonOct10_19.xls			
223526	V 2737 Sylvilagus 	LACMV-2737	mammal	2.6	8.1	-21.2	15.3	42.5	2.8	3.2	Fox_Blois_SouthonOct10_19.xls			
223527	V 2751 Sylvilagus 	LACMV-2751	mammal	1.6	4.5	-21.3	15.0	42.1	2.8	3.3	Fox_Blois_SouthonOct10_19.xls			
223528	V 4509 Spermophilus  Pit 10 	LACMV-4509	mammal	3.0	4.4	-18.6	15.1	42.1	2.8	3.3	Fox_Blois_SouthonOct10_19.xls			
223529	V 4519 Spermophilus 	LACMV-4519	mammal	2.0	9.4	-19.3	15.4	43.0	2.8	3.3	Fox_Blois_SouthonOct10_19.xls			
223585	P23-35541 Sylvilagus Box 13 B-2 L4	LACMP23-35541	mammal	2.7	5.2	-21.4	15.1	42.8	2.8	3.3	Fox_Blois_SouthonOct07_19.xls	"These samples were duplicates of samples run 10/7/19. Note that UCIAMS-223585 is a new collagen preparation, while UCIAMS-223587 is a new combusted aliquot from UCIAMS-223521, run 10/7/19."		
223587	P23-40642 Spermophilus Box 14	LACMP23-40642	mammal	4.0	6.4	-20.3	15.0	42.3	2.8	3.3	Fox_Blois_SouthonOct07_19.xls	"These samples were duplicates of samples run 10/7/19. Note that UCIAMS-223585 is a new collagen preparation, while UCIAMS-223587 is a new combusted aliquot from UCIAMS-223521, run 10/7/19."		
219989	P23 39241 Ferocactus Box 14 B-3 L5	LACMP23-39241	plant		6.5	-20.5	0.5	50.7			Southon_Blois_GillJul08_19.xls	The high %C for the P23 39241 Ferocactus Box 14 and P23 39520 Juniperus Box 14 reflect the fact that these samples were charred		
219998	P23 39512 Arctostaph. Box 14 B-2 L2	LACMP23-39512	plant		8.9	-22.2	0.1	40.5			Southon_Blois_GillJul08_19.xls			
220001	P23 39515 Juniperus cal. Box 14 B-3 L5	LACMP23-39515	plant		N/A	-20.0	0.1	41.8			Southon_Blois_GillJul08_19.xls	The nitrogen content of the P23 39515 Juniperus californicus Box14 sample was too small to provide a reliable d15N measurement.		
220004	P23 39516 Juniperus cal. Box 14 C-3 L2	LACMP23-39516	plant		11.4	-20.1	0.3	43.1			Southon_Blois_GillJul08_19.xls			
220006	P23 39518 Juniperus cal. Box 14 D-3 L4	LACMP23-39518	plant		8.9	-18.2	0.3	40.7			Southon_Blois_GillJul08_19.xls			
220008	P23 39520 Juniperus Box 14 C-2 L5	LACMP23-39520	plant		6.9	-22.8	2.0	68.0			Southon_Blois_GillJul08_19.xls			
225199	P23 41950 Xanthium Box 13 A-3 L 1	LACMP23-41950	plant		8.4		0.4				Southon_Blois_GillNov20_19.xls	The holocellulose aliquot from the P23 41950 most of its mass in the bleaching stage and provided insufficient material for an IRMS d13C measurement.		
225200	P23 42132 Juniperus Box 13 A-3 L 1	LACMP23-42132	plant								Southon_Blois_GillNov20_19.xls	too small to provide extra material for EA/IRMS measurements		
225201	P23 42133 Juniperus cal. Box 13 A-3 L 2	LACMP23-42133	plant		5.9	-20.4	0.2	40.3			Southon_Blois_GillNov20_19.xls			
225202	P23 41972 Berberis Box 13 A-3 L 3	LACMP23-41972	plant								Southon_Blois_GillNov20_19.xls			
225203	P23 42134 Juniperus cal. Box 13 A-3 L 3	LACMP23-42134	plant		9.7	-21.6	0.1	42.4			Southon_Blois_GillNov20_19.xls			
225204	P23 41981 Quercus du. Box 13 A-3 L 4	LACMP23-41981	plant			-23.1		61.3			Southon_Blois_GillNov20_19.xls			
225205	P23 41984 Quercus lob. Box 13 A-3 L 4	LACMP23-41984	plant								Southon_Blois_GillNov20_19.xls	too small to provide extra material for EA/IRMS measurements		
225206	P23 41998 Quercus du. Box 13 B-2 L 1	LACMP23-41998	plant			-17.9		41.7			Southon_Blois_GillNov20_19.xls			
225207	P23 42135 Juniperus cal. Box 13 B-2 L 1	LACMP23-42135	plant			-17.0		41.5			Southon_Blois_GillNov20_19.xls			
225208	P23 42010 Xanthium Box 13 B-2 L 2	LACMP23-42010	plant			-24.5		41.5			Southon_Blois_GillNov20_19.xls			
225209	P23 42136 Juniperus cal. Box 13 B-2 L 2	LACMP23-42136	plant		7.4	-18.0	0.1	41.5			Southon_Blois_GillNov20_19.xls			
225210	P23 42137 Juniperus cal. Box 13 B-2 L 3	LACMP23-42137	plant			-19.7		40.7			Southon_Blois_GillNov20_19.xls			
225211	P23 42027 Arctostaphylos Box 13 B-2 L 4	LACMP23-42027	plant			-21.0		41.4			Southon_Blois_GillNov20_19.xls			
225212	P23 42139 Juniperus cal. Box 13 B-3 L 1	LACMP23-42139	plant			-20.8		40.5			Southon_Blois_GillNov20_19.xls			
225213	P23 42140 Xanthium Box 13 B-3 L 2	LACMP23-42140	plant			-23.1		40.9			Southon_Blois_GillNov20_19.xls			
225214	P23 42141 Juniperus cal. Box 13 B-3 L 3	LACMP23-42141	plant		6.0	-19.1	0.1	42.0			Southon_Blois_GillNov20_19.xls			
225215	P23 42142 Ambrosia Box 13 B-3 L 3	LACMP23-42142	plant			-21.7		79.9			Southon_Blois_GillNov20_19.xls			
225216	P23 42076 Arctostaphylos Box 13 B-3 L 4	LACMP23-42076	plant			-22.1					Southon_Blois_GillNov20_19.xls			
225221	P23 39723 Quercus chry. Box 7B A-2 L 1	LACMP23-39723	plant			-21.9		10.6			Southon_Blois_GillNov20_19.xls			
225222	P23 42080 Juniperus cal. Box 7B A-2 L 1	LACMP23-42080	plant								Southon_Blois_GillNov20_19.xls	too small to provide extra material for EA/IRMS measurements		
225223	P23 39754 Xanthium Box 7B A-2 L 3	LACMP23-39754	plant			-20.1		41.2			Southon_Blois_GillNov20_19.xls			
225224	P23 42081 Purshia Box 7B A-2 L 3	LACMP23-42081	plant			-20.4		40.9			Southon_Blois_GillNov20_19.xls			
225225	P23 42083 Xanthium Box 7B A-3 L 4	LACMP23-42083	plant		5.7	-23.2	0.2	40.6			Southon_Blois_GillNov20_19.xls			
225226	P23 42084 Juniperus cal. Box 7B B-1 L 5	LACMP23-42084	plant			-19.9		39.0			Southon_Blois_GillNov20_19.xls			
225227	P23 42085 Juniperus cal. Box 7B B-2 L 1	LACMP23-42085	plant		8.5	-18.3	0.1	41.5			Southon_Blois_GillNov20_19.xls			
225228	P23 42086 Juniperus cal. Box 7B B-2 L 3	LACMP23-42086	plant			-20.4		41.9			Southon_Blois_GillNov20_19.xls			
225229	P23 42087 Juniperus. Box 7B B-2 L 3	LACMP23-42087	plant								Southon_Blois_GillNov20_19.xls	too small to provide extra material for EA/IRMS measurements		
