"UCIAMS_Number","Species","Taxon","Time","Group","del13C_permil","del15N_permil"
"191102","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.3,7.3
"191103","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.7,8.5
"191104","S. bachmani","Sylvilagus","Pleistocene","Herbivore",-22.3,7.3
"191105","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.7,7.3
"191242","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.1,4.3
"198205","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.7,7
"198207","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.9,8.5
"198208","Neotoma sp","Neotoma","Pleistocene","Herbivore",-21.1,8.2
"198294","S. bachmani","Sylvilagus","Pleistocene","Herbivore",-20.9,5.5
"198295","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.8,8.8
"198296","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-19.3,3.2
"198297","Thomomys sp","Thomomys","Pleistocene","Herbivore",-21.6,3.9
"198298","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.9,7
"216760","S. audubonii","Sylvilagus","Holocene","Herbivore",-20.8,3.6
"216761","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.1,5.9
"216762","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.2,4.5
"216763","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.4,7.6
"216764","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21,6.9
"216765","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.3,8.4
"216766","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-22,7.6
"216767","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.9,4.9
"216769","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.3,5.2
"216771","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-22.5,6.9
"216772","Otospermophilus","Otospermophilus","Holocene","Herbivore",-20.7,3.8
"216773","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.4,6.3
"216779","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.7,5.3
"216780","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.4,4.5
"216781","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.5,6.6
"216783","Leporidae","Sylvilagus","Pleistocene","Herbivore",-21.6,4.9
"216784","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.7,5.6
"216785","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-22.1,5.3
"217078","S. bachmani","Sylvilagus","Pleistocene","Herbivore",-22.3,8.2
"217079","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.4,6.6
"223493","Otospermophilus","Otospermophilus","Holocene","Herbivore",-18.5,9.9
"223494","Sylvilagus sp","Sylvilagus","Holocene","Herbivore",-18.8,6.2
"223496","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.9,6.2
"223497","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-22,7
"223498","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.2,8.7
"223499","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.5,4.2
"223500","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21,3.7
"223501","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.2,3.9
"223502","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.4,7.2
"223503","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.4,5.7
"223504","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.1,6.8
"223505","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.9,7.3
"223506","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.2,8.2
"223507","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-22.2,6.4
"223508","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.1,9.4
"223509","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.2,6.2
"223513","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.3,7.2
"223514","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.6,6.2
"223516","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-20.9,7.9
"223517","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.4,7.2
"223518","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.7,6.9
"223523","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21,9.6
"198201","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.4,7.6
"198202","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.4,4.4
"198203","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21,4
"198204","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-21.1,3.8
"223524","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-20.9,7.2
"223525","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.1,8.6
"223526","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.2,8.1
"223527","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.3,4.5
"223528","Otospermophilus","Otospermophilus","Holocene","Herbivore",-18.6,4.4
"223529","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-19.3,9.4
"198302","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.2,6.7
"216768","S. audubonii","Sylvilagus","Pleistocene","Herbivore",-21.8,7.8
"216770","S. bachmani","Sylvilagus","Pleistocene","Herbivore",-22.1,6.9
"223585","Sylvilagus sp","Sylvilagus","Pleistocene","Herbivore",-21.4,5.2
"223587","Otospermophilus","Otospermophilus","Pleistocene","Herbivore",-20.3,6.4
