"UCIAMS_Number"	"Original_sample_name"	"Museum_Number"	"Other_ID"	"SampleType"	"d13C_permil"	"d13C_error"	"fraction_Modern"	"fraction_Modern_error"	"D14C_permil"	"D14C_error"	"X14C_age_BP"	"X14C_age_error"	"Original_data_sheet"	"Sample_Notes"	"UseSample"	"Other_Notes"	"prelim_taxon_name"	"box"	"Canister"	"misc"
"12"	191242	"P23-31031 Dep14 C-3 L7 sylvilagus"	"LACMP23-31031"	NA	"mammal"	-21.1	0.1	0	-9e-04	-1000	-0.9	">50800"	NA	"FoxBloisJul19_17.xls"	"The 14C/C ratio for this sample was within 2 standard deviations of zero after background subtraction. The corresponding radiocarbon ages is quoted as a 2 sigma lower limit."	"Y"	""	"Sylvilagus cf audubonii"	"14"	"C3/L7"	"y"
"19"	198205	"P23 33227 S. beecheyi Dep. 1 B-2 L3"	"LACMP23-33227"	NA	"mammal"	-20.7	0.1	0.0105	8e-04	-989.5	0.8	"36580"	610	"Blois_FoxJan03_18.xls"	""	"MAYBE"	""	"Otospermophilus beecheyi"	"1"	"B2/L3"	"y"
"20"	198206	"P23 33228 S. beecheyi Dep. 1 B-1 L3"	"LACMP23-33228"	NA	"mammal"	-20.7	0.1	0.0225	8e-04	-977.5	0.8	"30480"	290	"Blois_FoxJan03_18.xls"	""	"MAYBE"	""	"Otospermophilus beecheyi"	"1"	"B1/L3"	"y"
"21"	198207	"P23 33229 S. beecheyi Dep. 1 B-2 L2"	"LACMP23-33229"	NA	"mammal"	-20.9	0.1	0.019	8e-04	-981	0.8	"31830"	340	"Blois_FoxJan03_18.xls"	""	"Y"	""	"Otospermophilus beecheyi"	"1"	"B2/L2"	"y"
"22"	198208	"P23 33233 Neotoma sp. Dep. 14"	"LACMP23-33233"	NA	"mammal"	-21.1	0.1	0.0412	8e-04	-958.8	0.8	"25620"	160	"Blois_FoxJan03_18.xls"	""	"MAYBE"	""	"Neotoma sp"	"14"	"misc"	"y"
"23"	198294	"P23 28902 Sylvilagus Dep. 1 A-1 L7 .28mgC"	"LACMP23-28902"	NA	"mammal"	-20.9	0.1	0.0071	7e-04	-992.9	0.7	"39700"	810	"BloisFoxJan06_18.xls"	""	"Y"	""	"Sylvilagus bachmani"	"1"	"A1/L7"	"y"
"24"	198295	"P23 31113 Sciuridae Dep. 14 D-3 L5"	"LACMP23-31113"	NA	"mammal"	-20.8	0.1	0.0163	7e-04	-983.7	0.7	"33070"	350	"BloisFoxJan06_18.xls"	""	"Y"	"Specimen is not listed in the master mammal spreadsheet!"	"?Otospermophilus beecheyi"	"14"	"D3/L5"	"y"
"25"	198296	"P23 31118 Sciuridae Dep. 14 C-3 L4 .30mgC"	"LACMP23-31118"	NA	"mammal"	-19.3	0.1	0.0028	7e-04	-997.2	0.7	"47400"	2000	"BloisFoxJan06_18.xls"	""	"Y"	"Specimen is not listed in the master mammal spreadsheet!"	"?Otospermophilus beecheyi"	"14"	"C3/L4"	"y"
"26"	198297	"P23 33232 Thomomys sp. Dep. 14"	"LACMP23-33232"	NA	"mammal"	-21.6	0.1	0.0284	7e-04	-971.6	0.7	"28600"	210	"BloisFoxJan06_18.xls"	""	"Y"	""	"Thomomys sp"	"14"	"misc"	"y"
"27"	198298	"P23 33235 S. beecheyi Dep. 14"	"LACMP23-33235"	NA	"mammal"	-20.9	0.1	0.0378	7e-04	-962.2	0.7	"26310"	150	"BloisFoxJan06_18.xls"	""	"Y"	""	"Otospermophilus beecheyi"	"14"	"misc"	"y"
"28"	198302	"P23 33228 S. beecheyi Dep. 1 B-1 L3 test"	"LACMP23-33228"	NA	"mammal"	-20.2	0.1	0.0214	7e-04	-978.6	0.7	"30870"	270	"Southon_Blois_Fox_testJan06_18.xls"	"New aliquot. The P23 33228 sample run on 1/3/18 gave a golden brown extract and collagen that was light tan not white. A new aliquot was prepared and the decalcified collagen was treated with a 1:1 mixture of 0.1N HCl and 0.1M NaClO2 (2 hrs, rm temp) prior to gelatinization and ultrafiltration. The brown color of the new aliquot of decalcified bone lightened significantly, the ultrafiltered gelatin was clear, the freeze-dried collagen was white, and the yield was unchanged. The 14C result was similar to that of the initial aliquot and the C:N ratio was identical to that of well preserved bone"	"Y"	""	"Otospermophilus beecheyi"	"1"	"B1/L3"	"y"
"29"	216760	"HC 11534 Sylvilagus Pit 10 E-8 9ft"	"LACMHC-11534"	NA	"mammal"	-20.8	0.1	0.4783	0.0011	-521.7	1.1	"5925"	20	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Sylvilagus audubonii"	"HC"	"Pit 10 E-8 9ft"	"y"
"30"	216761	"HC 11587 Spermophilus Pit 10 E-8 9ft"	"LACMHC-11587"	NA	"mammal"	-21.1	0.1	0.2509	8e-04	-749.1	0.8	"11105"	25	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"?Otospermophilus beecheyi"	"HC"	"Pit 10 E-8 9ft"	"y"
"31"	216762	"HC 130857 Spermophilus Bliss 29  "	"LACMHC-130857"	NA	"mammal"	-21.2	0.1	0.0043	8e-04	-995.7	0.8	"43700"	1600	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"?Otospermophilus beecheyi"	"HC"	"Bliss 29"	"y"
"32"	216763	"HC 142763 Sylvilagus Pit 16  "	"LACMHC-142763"	NA	"mammal"	-21.4	0.1	0.0101	8e-04	-989.9	0.8	"36880"	660	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Sylvilagus audubonii"	"HC"	"Pit 16"	"y"
"33"	216764	"HC 142764 Sylvilagus Pit 16  "	"LACMHC-142764"	NA	"mammal"	-21	0.1	0.0108	8e-04	-989.2	0.8	"36350"	620	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Sylvilagus audubonii"	"HC"	"Pit 16"	"y"
"34"	216765	"HC 142766 Sylvilagus Pit 16  "	"LACMHC-142766"	NA	"mammal"	-21.3	0.1	0.0284	8e-04	-971.6	0.8	"28600"	240	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Sylvilagus audubonii"	"HC"	"Pit 16"	"y"
"35"	216766	"HC 142767 Sylvilagus   "	"LACMHC-142767"	NA	"mammal"	-22	0.1	0.1752	8e-04	-824.8	0.8	"13990"	40	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Sylvilagus audubonii"	"HC"	"No Data"	"y"
"36"	216767	"HC 142772 Sylvilagus (juv)   "	"LACMHC-142772"	NA	"mammal"	-21.9	0.1	0.1667	8e-04	-833.3	0.8	"14390"	40	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Sylvilagus audubonii"	"HC"	"No Data"	"y"
"37"	216768	"HC 142773 Sylvilagus Pit A  "	"LACMHC-142773"	NA	"mammal"	-21.8	0.1	0.006	8e-04	-994	0.8	"41000"	1100	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Sylvilagus audubonii"	"HC"	"Pit A"	"y"
"38"	216769	"HC 142778 Sylvilagus Pit A  "	"LACMHC-142778"	NA	"mammal"	-21.3	0.1	0.0048	8e-04	-995.2	0.8	"42900"	1400	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Sylvilagus audubonii"	"HC"	"Pit A"	"y"
"39"	216770	"HC 142779 Sylvilagus (juv) Pit A  "	"LACMHC-142779"	NA	"mammal"	-22.1	0.1	0.0117	8e-04	-988.3	0.8	"35740"	570	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Sylvilagus bachmani"	"HC"	"Pit A"	"y"
"40"	216771	"V 2173 Sylvilagus Pit 16  "	"LACMV-2173"	NA	"mammal"	-22.5	0.1	0.0229	8e-04	-977.1	0.8	"30320"	290	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Sylvilagus audubonii"	"HC"	"Pit 16"	"y"
"41"	216772	"V 4516 Spermophilus   "	"LACMV-4516"	NA	"mammal"	-20.7	0.1	0.7443	0.0013	-255.7	1.3	"2375"	15	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"?Otospermophilus beecheyi"	"HC"	"No Data"	"y"
"42"	216773	"V 4520 Spermophilus   "	"LACMV-4520"	NA	"mammal"	-20.4	0.1	0.0202	8e-04	-979.8	0.8	"31340"	330	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"?Otospermophilus beecheyi"	"HC"	"No Data"	"y"
"43"	216779	"V 4524 Spermophilus   "	"LACMV-4524"	NA	"mammal"	-20.7	0.1	0.0211	8e-04	-978.9	0.8	"31000"	320	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"?Otospermophilus beecheyi"	"HC"	"No Data"	"y"
"44"	216780	"V 4531 Spermophilus Pit 16"	"LACMV-4531"	NA	"mammal"	-21.4	0.1	0.0213	8e-04	-978.7	0.8	"30900"	320	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"?Otospermophilus beecheyi"	"HC"	"Pit 16"	"y"
"45"	216781	"P23 35670 Spermophilus Dep. 7B B-2 L2"	"LACMP23-35670"	NA	"mammal"	-21.5	0.1	0.0212	8e-04	-978.8	0.8	"30970"	320	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Otospermophilus ?beecheyi"	"7b"	"B2/L2"	"n"
"46"	216782	"P23 35691 Mustela Dep. 7B B-2 L2"	"LACMP23-35691"	NA	"mammal"	-20.2	0.1	0.008	8e-04	-992	0.8	"38750"	840	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Mustela frenata"	"7b"	"B2/L2"	"n"
"47"	216783	"P23 35774 Lepus Dep. 7B B-2 L3"	"LACMP23-35774"	NA	"mammal"	-21.6	0.1	0.005	8e-04	-995	0.8	"42600"	1400	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Mammalia-Lagomorpha"	"7b"	"B2/L3"	"n"
"48"	216784	"P23 36332 Sylvilagus Dep. 7B B-2 L3"	"LACMP23-36332"	NA	"mammal"	-21.7	0.1	0.0057	8e-04	-994.3	0.8	"41500"	1200	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Sylvilagus sp"	"7b"	"Dep. 7B B-2 L3"	"y"
"49"	216785	"P23 36336 Sylvilagus Dep. 7B B-2 L4"	"LACMP23-36336"	NA	"mammal"	-22.1	0.1	0.0019	8e-04	-998.1	0.8	"50200"	3500	"Blois_Fox_SouthonApr14_19.xls"	""	"Y"	""	"Sylvilagus sp"	"7b"	"Dep. 7B B-2 L4"	"y"
"50"	217076	"HC 142773 Sylvilagus Pit A"	"LACMHC-142773"	NA	"mammal"	-21.7	0.1	0.0048	8e-04	-995.2	0.8	"42900"	1400	"Blois_Fox_SouthonApr14_21.xls"	"These samples were run to check samples that previously gave insufficient collagen yields (V 2174 and P23 36331) or where the yields from aliquots run on 4/14/19 were marginal."	"N"	""	"Sylvilagus audubonii"	"HC"	"Pit A"	"y"
"51"	217077	"HC 142779 Sylvilagus (juv) Pit A .35mgC"	"LACMHC-142779"	NA	"mammal"	-22.2	0.1	0.012	8e-04	-988	0.8	"35550"	560	"Blois_Fox_SouthonApr14_21.xls"	"These samples were run to check samples that previously gave insufficient collagen yields (V 2174 and P23 36331) or where the yields from aliquots run on 4/14/19 were marginal."	"N"	""	"Sylvilagus bachmani"	"HC"	"Pit A"	"y"
"52"	217078	"V 2174 Sylvilagus Pit 16"	"LACMV-2174"	NA	"mammal"	-22.3	0.1	0.0288	8e-04	-971.2	0.8	"28500"	240	"Blois_Fox_SouthonApr14_21.xls"	"These samples were run to check samples that previously gave insufficient collagen yields (V 2174 and P23 36331) or where the yields from aliquots run on 4/14/19 were marginal."	"Y"	""	"Sylvilagus bachmani"	"HC"	"Pit 16"	"y"
"53"	217079	"P23 36331 Sylvilagus Dep. 7B B-2 L3 .23mgC"	"LACMP23-36331"	NA	"mammal"	-21.4	0.1	0.0032	9e-04	-996.8	0.9	"46200"	2400	"Blois_Fox_SouthonApr14_21.xls"	"These samples were run to check samples that previously gave insufficient collagen yields (V 2174 and P23 36331) or where the yields from aliquots run on 4/14/19 were marginal."	"Y"	""	"Sylvilagus sp"	"7b"	"Dep. 7B B-2 L3"	"y"
"91"	223493	"HC 11584 Spermophilus  Pit 10  E+F-8 9-13.5'"	"LACMHC-11584"	NA	"mammal"	-18.5	0.1	0.5708	0.0013	-429.2	1.3	"4505"	20	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"?Otospermophilus beecheyi"	"HC"	"Pit 10"	"y"
"92"	223494	"HC 143517 Sylvilagus "	"LACMHC-143517"	NA	"mammal"	-18.8	0.1	0.7189	0.0018	-281.1	1.8	"2650"	25	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"HC"	"No Data"	"y"
"93"	223495	"P23-35541 Sylvilagus Box 13 B-2 L4"	"LACMP23-35541"	NA	"mammal"	-21.5	0.1	0.008	6e-04	-992	0.6	"38740"	640	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"13"	NA	"y"
"94"	223496	"P23-36572 Spermophilus  Box 13 A-3 L3"	"LACMP23-36572"	NA	"mammal"	-20.9	0.1	0.0064	6e-04	-993.6	0.6	"40640"	800	"Fox_Blois_SouthonOct10_19.xls"	"The following samples gave very low yields of ultrafiltered collagen and could not be measured: HC 11541 Sylvilagus Pit 10, P23-36572 Spermophilus Box 13, P23-37097 Spermophilus  Box 13, P23-40643 Spermophilus Box 14, P23-40645 Spermophilus (juv) Box 14, P23-40646 Sylvilagus Box 14, V 2645 Sylvilagus  Pit 4. JLB Notes: Not sure why there's a date here then!!"	""	""	"?Otospermophilus beecheyi"	"13"	NA	"y"
"95"	223497	"P23-36693 Sylvilagus Box 13 B-2 L3"	"LACMP23-36693"	NA	"mammal"	-22	0.1	0.0076	6e-04	-992.4	0.6	"39240"	670	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"13"	NA	"y"
"96"	223498	"P23-36859 Spermophilus Box 13 B-3 L4"	"LACMP23-36859"	NA	"mammal"	-21.2	0.1	0.0131	6e-04	-986.9	0.6	"34800"	390	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"?Otospermophilus beecheyi"	"13"	NA	"y"
"97"	223499	"P23-36896 Sylvilagus Box 13 A-3 L3"	"LACMP23-36896"	NA	"mammal"	-21.5	0.1	0.0153	6e-04	-984.7	0.6	"33590"	340	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"13"	NA	"y"
"98"	223500	"P23-36907 Spermophilus Box 13 A-3 L3"	"LACMP23-36907"	NA	"mammal"	-21	0.1	0.0125	6e-04	-987.5	0.6	"35230"	410	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"?Otospermophilus beecheyi"	"13"	NA	"y"
"99"	223501	"P23-36910 Spermophilus Box 13 A-3 L3"	"LACMP23-36910"	NA	"mammal"	-21.2	0.1	0.0124	6e-04	-987.6	0.6	"35270"	410	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"?Otospermophilus beecheyi"	"13"	NA	"y"
"100"	223502	"P23-36989 Sylvilagus Box 13 B-2 L4"	"LACMP23-36989"	NA	"mammal"	-21.4	0.1	0.0042	6e-04	-995.8	0.6	"44000"	1200	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"13"	NA	"y"
"101"	223503	"P23-37612 Sylvilagus Box 13 B-2 L4"	"LACMP23-37612"	NA	"mammal"	-21.4	0.1	0.0032	6e-04	-996.8	0.6	"46200"	1600	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"13"	NA	"y"
"102"	223504	"P23-37651 Spermophilus Box 13 B-2 L4"	"LACMP23-37651"	NA	"mammal"	-20.1	0.1	0.0027	6e-04	-997.3	0.6	"47400"	1800	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"?Otospermophilus beecheyi"	"13"	NA	"y"
"103"	223505	"P23-39811 Sylvilagus aud. Box 13 B-2 L3"	"LACMP23-39811"	NA	"mammal"	-21.9	0.1	0.0159	6e-04	-984.1	0.6	"33260"	320	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus audubonii"	"13"	"B2/L3"	"n"
"104"	223506	"P23-39812 Sylvilagus Box 13 B-2 L3"	"LACMP23-39812"	NA	"mammal"	-21.2	0.1	0.011	6e-04	-989	0.6	"36260"	470	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"13"	"B2/L3"	"n"
"105"	223507	"P23-39818 Sylvilagus Box 13 B-3 L2"	"LACMP23-39818"	NA	"mammal"	-22.2	0.1	0.0205	7e-04	-979.5	0.7	"31230"	270	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"13"	"B3/L2-T1"	"n"
"106"	223508	"P23-39822 Sylvilagus aud. Box 13 B-2 L2"	"LACMP23-39822"	NA	"mammal"	-21.1	0.1	0.0187	7e-04	-981.3	0.7	"31980"	280	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"13"	"B3/L2-T1"	"n"
"107"	223509	"P23-39825 Spermophilus (juv) Box 13 B-3 L2"	"LACMP23-39825"	NA	"mammal"	-21.2	0.1	0.0171	6e-04	-982.9	0.6	"32660"	300	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Otospermophilus ?beecheyi"	"13"	"B3/L2-T2"	"n"
"108"	223513	"P23-40634 Sylvilagus Box 14 "	"LACMP23-40634"	NA	"mammal"	-21.3	0.1	0.0402	7e-04	-959.8	0.7	"25830"	140	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"14"	NA	"y"
"109"	223514	"P23-40635 Sylvilagus Box 14 B-3 L5"	"LACMP23-40635"	NA	"mammal"	-21.6	0.1	4e-04	6e-04	-999.6	0.6	">51700"	NA	"Fox_Blois_SouthonOct10_19.xls"	"14C/C ratios for the P23-40635 Sylvilagus Box 14 B-3 L5 and P23-40647 Sylvilagus aud. Box 14  samples were within 2 standard deviations of zero after background subtraction. The corresponding radiocarbon ages are quoted as 2 sigma lower limits."	""	""	"Sylvilagus sp"	"14"	NA	"y"
"110"	223515	"P23-40636 Sylvilagus Box 14 "	"LACMP23-40636"	NA	"mammal"	NA	NA	0.0338	6e-04	-966.2	0.6	"27200"	160	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"14"	NA	"y"
"111"	223516	"P23-40637 Sylvilagus Box 14 B-3 L3"	"LACMP23-40637"	NA	"mammal"	-20.9	0.1	0.0357	7e-04	-964.3	0.7	"26780"	160	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"14"	NA	"y"
"112"	223517	"P23-40638 Sylvilagus Box 14 "	"LACMP23-40638"	NA	"mammal"	-21.4	0.1	0.0101	6e-04	-989.9	0.6	"36870"	500	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"14"	NA	"y"
"113"	223518	"P23-40639 Sylvilagus Box 14 "	"LACMP23-40639"	NA	"mammal"	-21.7	0.1	0.002	6e-04	-998	0.6	"49800"	2500	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"14"	NA	"y"
"114"	223519	"P23-40640 Sylvilagus Box 14 "	"LACMP23-40640"	NA	"mammal"	NA	NA	0.0021	6e-04	-997.9	0.6	"49400"	2400	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Sylvilagus sp"	"14"	NA	"y"
"115"	223520	"P23-40641 Neotoma  Box 14 "	"LACMP23-40641"	NA	"mammal"	NA	NA	0.0279	7e-04	-972.1	0.7	"28750"	190	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"Neotoma sp"	"14"	NA	"y"
"116"	223521	"P23-40642 Spermophilus Box 14  .10mgC"	"LACMP23-40642"	NA	"mammal"	-20.3	0.1	0.0349	0.0014	-965.1	1.4	"26940"	320	"Fox_Blois_SouthonOct10_19.xls"	"Much of the CO2 from the P23-40642 Spermophilus Box 14 sample was lost, and a new aliquot will be combusted and measured."	""	""	"?Otospermophilus beecheyi"	"14"	NA	"y"
"117"	223522	"P23-40644 Spermophilus Box 14 "	"LACMP23-40644"	NA	"mammal"	NA	NA	0.0083	6e-04	-991.7	0.6	"38490"	610	"Fox_Blois_SouthonOct10_19.xls"	""	""	""	"?Otospermophilus beecheyi"	"14"	NA	"y"
"118"	223523	"P23-40647 Sylvilagus aud. Box 14 "	"LACMP23-40647"	NA	"mammal"	-21	0.1	8e-04	6e-04	-999.2	0.6	">49900"	NA	"Fox_Blois_SouthonOct10_19.xls"	"14C/C ratios for the P23-40635 Sylvilagus Box 14 B-3 L5 and P23-40647 Sylvilagus aud. Box 14  samples were within 2 standard deviations of zero after background subtraction. The corresponding radiocarbon ages are quoted as 2 sigma lower limits."	""	""	"Sylvilagus audubonii"	"14"	NA	"y"
"125"	223585	"P23-35541 Sylvilagus Box 13 B-2 L4"	"LACMP23-35541"	NA	"mammal"	-21.4	0.1	0.0076	4e-04	-992.4	0.4	"39220"	460	"Fox_Blois_SouthonOct07_19.xls"	"These samples were duplicates of samples run 10/7/19. Note that UCIAMS-223585 is a new collagen preparation, while UCIAMS-223587 is a new combusted aliquot from UCIAMS-223521, run 10/7/19."	""	""	"Sylvilagus sp"	"13"	NA	"y"
"126"	223587	"P23-40642 Spermophilus Box 14"	"LACMP23-40642"	NA	"mammal"	-20.3	0.1	0.036	5e-04	-964	0.5	"26710"	110	"Fox_Blois_SouthonOct07_19.xls"	"These samples were duplicates of samples run 10/7/19. Note that UCIAMS-223585 is a new collagen preparation, while UCIAMS-223587 is a new combusted aliquot from UCIAMS-223521, run 10/7/19."	""	""	"?Otospermophilus beecheyi"	"14"	NA	"y"
"13"	198199	"P23 2046 C. latrans Dep 1 B-1 L3"	"LACMP23-2046"	NA	"mammal"	-17	0.1	0.0116	8e-04	-988.4	0.8	"35770"	550	"Blois_FoxJan03_18.xls"	""	"Y"	"Specimen is not listed in the master mammal spreadsheet!"	"Canis latrans"	"1"	"B1/L3"	"y?"
"14"	198200	"P23 11485 C. latrans Dep 1 B-1 L7"	"LACMP23-11485"	NA	"mammal"	-19.9	0.1	0.0127	8e-04	-987.3	0.8	"35050"	510	"Blois_FoxJan03_18.xls"	""	"Y"	"Specimen is not listed in the master mammal spreadsheet!"	"Canis latrans"	"1"	"B1/L7"	"y?"
"15"	198201	"P23 17139 S. beecheyi Dep. 1 B-2 L8"	"LACMP23-17139"	NA	"mammal"	-20.4	0.1	0.0175	8e-04	-982.5	0.8	"32500"	370	"Blois_FoxJan03_18.xls"	""	"Y"	"Specimen is not listed in the master mammal spreadsheet!"	"Otospermophilus beecheyi"	"1"	"B2/L8"	"y?"
"16"	198202	"P23 20172 S. beecheyi Dep. 1 B-1 L8"	"LACMP23-20172"	NA	"mammal"	-21.4	0.1	0.0115	8e-04	-988.5	0.8	"35900"	560	"Blois_FoxJan03_18.xls"	""	"Y"	"Specimen is not listed in the master mammal spreadsheet!"	"Otospermophilus beecheyi"	"1"	"B1/L8"	"y?"
"17"	198203	"P23 26592 S. beecheyi Dep. 1 B-1 L4"	"LACMP23-26592"	NA	"mammal"	-21	0.1	0.0162	0.0012	-983.8	1.2	"33100"	620	"Blois_FoxJan03_18.xls"	""	"Y"	"Specimen is not listed in the master mammal spreadsheet!"	"Otospermophilus beecheyi"	"1"	"B1/L4"	"y?"
